,PLAYER,Height
0,Rick Wilson,77
1,Dan Roundfield,80
2,Tree Rollins,85
3,Tom McMillen,83
4,Butch Lee,72
5,Eddie Johnson,74
6,Armond Hill,76
7,Keith Herron,78
8,Steve Hawes,81
9,Jack Givens,77
10,Terry Furlow,76
11,John Drew,78
12,Charlie Criss,68
13,Brian Winters,76
14,Lloyd Walton,72
15,Norm Van Lier,73
16,Sam Smith,76
17,Kevin Restani,81
18,Marques Johnson,79
19,George Johnson,79
20,Otis Howard,79
21,Ernie Grunfeld,78
22,John Gianelli,82
23,Quinn Buckner,75
24,Junior Bridgeman,77
25,Del Beshore,71
26,Kent Benson,82
27,Earl Williams,79
28,Jo Jo White,75
29,Earl Tatum,77
30,Kevin Stacom,75
31,Frankie Sanders,78
32,Curtis Rowe,79
33,Rick Robey,83
34,Bob McAdoo,81
35,Cedric Maxwell,80
36,Billy Knight,78
37,Jeff Judkins,78
38,Chris Ford,77
39,Dave Cowens,81
40,Don Chaney,77
41,Marvin Barnes,80
42,Tom Barker,83
43,Dennis Awtrey,82
44,Tiny Archibald,73
45,John Williamson,74
46,Wilson Washington,81
47,Jan van Breda Kolff,79
48,Al Skinner,75
49,Ralph Simpson,77
50,Eric Money,72
51,Bernard King,79
52,Eddie Jordan,73
53,Phil Jackson,80
54,Bob Elliott,81
55,Harvey Catchings,81
56,Winford Boynes,78
57,Tim Bassett,80
58,Andre Wakefield,75
59,Reggie Theus,79
60,Steve Sheppard,78
61,John Mengelt,74
62,Scott May,79
63,Scott Lloyd,82
64,Mark Landsberger,80
65,Ollie Johnson,78
66,Mickey Johnson,82
67,Wilbur Holland,72
68,Artis Gilmore,86
69,Charles Dudley,74
70,John Brown,79
71,Tate Armstrong,75
72,Foots Walker,72
73,Elmore Smith,84
74,Bingo Smith,77
75,Campy Russell,80
76,Mike Mitchell,79
77,John Lambert,82
78,Kenny Higgs,72
79,Walt Frazier,76
80,Harry Davis,79
81,Jim Chones,83
82,Austin Carr,76
83,Jim Brewer,81
84,Bob Wilkerson,78
85,David Thompson,76
86,Robert Smith,71
87,Charlie Scott,77
88,Anthony Roberts,77
89,George McGinnis,80
90,John Kuester,74
91,Dan Issel,81
92,Kim Hughes,83
93,Phil Hicks,79
94,Bo Ellis,81
95,Geoff Crompton,83
96,Tom Boswell,81
97,Terry Tyler,79
98,Kevin Porter,72
99,Ben Poquette,81
100,Larry McNeill,81
101,John Long,77
102,Bob Lanier,83
103,Essie Hollis,78
104,Bubbles Hawkins,76
105,Rickey Green,72
106,Gus Gerard,80
107,Leon Douglas,82
108,M.L. Carr,78
109,Dennis Boyd,73
110,Ron Behagen,81
111,Nate Williams,77
112,Raymond Townsend,75
113,Phil Smith,76
114,Purvis Short,79
115,Tony Robertson,76
116,Clifford Ray,81
117,Sonny Parker,78
118,Robert Parish,85
119,John Lucas,75
120,Ray Epps,78
121,Wesley Cox,78
122,Wayne Cooper,82
123,Tom Abernethy,79
124,Slick Watts,73
125,Rudy Tomjanovich,80
126,Robert Reid,80
127,Mike Newlin,76
128,Calvin Murphy,69
129,Moses Malone,82
130,Dwight Jones,82
131,Mike Dunleavy,75
132,Jacky Dorsey,79
133,E.C. Coleman,80
134,Alonzo Bradley,78
135,Rick Barry,79
136,Ricky Sobers,75
137,Wayne Radford,75
138,Steve Green,79
139,Alex English,79
140,Len Elmore,81
141,James Edwards,84
142,Johnny Davis,74
143,Brad Davis,75
144,Corky Calhoun,79
145,Mike Bantom,81
146,Freeman Williams,76
147,Sidney Wicks,80
148,Jerome Whitehead,82
149,Nick Weatherspoon,79
150,Kermit Washington,80
151,Brian Taylor,74
152,Randy Smith,75
153,Stan Pietkiewicz,77
154,John Olive,79
155,Connie Norman,75
156,Swen Nater,83
157,Kevin Kunnert,84
158,World B. Free,74
159,Bob Bigelow,79
160,Jamaal Wilkes,78
161,Dave Robisch,82
162,Jim Price,75
163,Norm Nixon,74
164,Lou Hudson,77
165,Don Ford,81
166,Adrian Dantley,77
167,Michael Cooper,77
168,Ron Carter,77
169,Kenny Carr,79
170,Ron Boone,74
171,Kareem Abdul-Jabbar,86
172,Ray Williams,75
173,Marvin Webster,85
174,John Rudd,79
175,Micheal Ray Richardson,77
176,Earl Monroe,75
177,Joe Meriweather,82
178,Toby Knight,81
179,Spencer Haywood,80
180,Glen Gondrezick,78
181,Mike Glenn,74
182,Jim Cleamons,75
183,Greg Bunch,78
184,Butch Beard,75
185,Gus Williams,74
186,Wally Walker,79
187,Dick Snyder,77
188,Paul Silas,79
189,Jack Sikma,83
190,Lonnie Shelton,80
191,Jackie Robinson,78
192,Tom LaGarde,82
193,John Johnson,79
194,Dennis Johnson,76
195,Joe Hassett,77
196,Lars Hansen,82
197,Fred Brown,75
198,Marlon Redmond,78
199,Steve Mix,79
200,Caldwell Jones,83
201,Bobby Jones,81
202,Julius Erving,79
203,Darryl Dawkins,83
204,Doug Collins,78
205,Maurice Cheeks,73
206,Joe Bryant,81
207,Henry Bibby,73
208,Paul Westphal,76
209,Alvin Scott,79
210,Truck Robinson,79
211,Ted McClain,73
212,Ron Lee,76
213,Joel Kramer,79
214,Gar Heard,78
215,Bayard Forrest,82
216,Walter Davis,78
217,Marty Byrnes,79
218,Don Buse,76
219,Mike Bratz,74
220,Alvan Adams,81
221,Dave Twardzik,73
222,Mychal Thompson,82
223,Ira Terrell,80
224,Larry Steele,77
225,Willie Smith,74
226,Tom Owens,82
227,Lloyd Neal,79
228,Jim McMillian,77
229,Maurice Lucas,81
230,Clemon Johnson,82
231,Lionel Hollins,75
232,Bob Gross,78
233,T.R. Dunn,76
234,Ron Brewer,76
235,Kim Anderson,79
236,Scott Wedman,79
237,Richard Washington,83
238,Bill Robinzine,79
239,Bob Nash,80
240,Billy McKinney,72
241,Sam Lacey,82
242,Darnell Hillman,81
243,Phil Ford,74
244,Tom Burleson,86
245,Otis Birdsong,75
246,Lucius Allen,74
247,James Silas,73
248,Billy Paultz,83
249,Mark Olberding,80
250,Glenn Mosley,80
251,Larry Kenon,81
252,Mike Green,82
253,George Gervin,79
254,Mike Gale,76
255,Coby Dietrick,82
256,Louie Dampier,72
257,Allan Bristow,79
258,Jim McElroy,75
259,Pete Maravich,77
260,Rich Kelley,84
261,Aaron James,80
262,James Hardy,80
263,Paul Griffin,81
264,Tommie Green,74
265,Gail Goodrich,73
266,Gus Bailey,77
267,Sam Pellom,81
268,Sidney Moncrief,75
269,Dave Meyers,80
270,Pat Cummings,81
271,Gerald Henderson,74
272,Eric Fernsten,82
273,Larry Bird,81
274,Cliff Robinson,81
275,Roger Phegley,78
276,Calvin Natt,78
277,Ollie Mack,75
278,Dave Greenwood,81
279,Roger Brown,83
280,Bill Willoughby,80
281,John Roche,75
282,Arvid Kramer,81
283,Gary Garland,76
284,John Shumate,81
285,Steve Malovic,82
286,Greg Kelser,79
287,Phil Hubbard,80
288,Roy Hamilton,74
289,Earl Evans,80
290,Terry Duerod,74
291,Bubba Wilson,75
292,Cheese Johnson,78
293,John Coughran,79
294,Rudy White,74
295,Paul Mokeski,84
296,Allen Leavell,73
297,Major Jones,81
298,Tom Henderson,75
299,Tony Zeno,80
300,Phil Chenier,75
301,Dudley Bradley,78
302,Bill Walton,83
303,Bob Carrington,78
304,Magic Johnson,81
305,Brad Holland,75
306,Sly Williams,79
307,Geoff Huston,74
308,Larry Demic,81
309,Hollis Copeland,78
310,Bill Cartwright,85
311,Vinnie Johnson,74
312,James Bailey,81
313,Bernard Toone,81
314,Jim Spanarkel,77
315,Clint Richardson,75
316,Johnny High,75
317,Jeff Cook,82
318,Jim Paxson,78
319,Abdul Jeelani,80
320,Billy Ray Bates,76
321,Reggie King,78
322,Terry Crosby,76
323,Wiley Peck,79
324,Sylvester Norris,83
325,Irv Kiffin,81
326,Mike Evans,73
327,Duck Williams,74
328,Carl Kilpatrick,82
329,Greg Deane,76
330,Paul Dawkins,77
331,Mack Calvin,72
332,Craig Shelton,79
333,Wes Matthews,73
334,Don Collins,78
335,Art Collins,76
336,Kevin McHale,82
337,Wayne Kreklow,76
338,Rory Sparrow,74
339,Mike O'Koren,79
340,Lowes Moore,73
341,Edgar Jones,82
342,Mike Gminski,83
343,Darwin Cook,75
344,Sam Worthen,77
345,James Wilkes,79
346,Ronnie Lester,74
347,Bill Laimbeer,83
348,Chad Kinch,76
349,Walter Jordan,79
350,Clarence Kea,78
351,Ralph Drollinger,86
352,Monti Davis,79
353,Darrell Allums,81
354,Kiki Vandeweghe,80
355,Ronnie Valentine,79
356,James Ray,80
357,Jawann Oldham,84
358,Carl Nicks,73
359,Cedrick Hordges,80
360,Larry Wright,73
361,Wayne Robinson,80
362,Edmund Lawrence,84
363,Lee Johnson,83
364,Tony Fuller,76
365,Larry Drew,73
366,Norman Black,77
367,Larry Smith,80
368,Lorenzo Romar,73
369,Billy Reid,77
370,Bill Mayfield,79
371,Joe Barry Carroll,84
372,Rickey Brown,82
373,John Stroud,79
374,Calvin Garrett,79
375,Jerry Sichting,73
376,Louis Orr,80
377,Kenny Natt,75
378,Dick Miller,78
379,Wally Rank,78
380,Tony Price,78
381,Ron Davis,78
382,Michael Brooks,79
383,Myles Patrick,80
384,Tony Jackson,72
385,Alan Hardy,79
386,Butch Carter,77
387,Mike Woodson,77
388,DeWayne Scales,80
389,Reggie Carter,75
390,Bill Hanzlik,79
391,James Donaldson,86
392,Andrew Toney,75
393,Earl Cureton,81
394,Mike Niles,78
395,Kyle Macy,75
396,Kelvin Ransey,73
397,Mike Harper,82
398,Hawkeye Whitney,77
399,Michael Wiley,81
400,Johnny Moore,73
401,Reggie Johnson,81
402,Dave Corzine,83
403,Jeff Wilkins,83
404,Brett Vroman,84
405,Darrell Griffith,76
406,John Duren,75
407,Mel Bennett,79
408,Al Wood,78
409,Rudy Macklin,79
410,Alton Lister,84
411,Bob Dandridge,78
412,Tracy Jackson,78
413,Charles Bradley,77
414,Danny Ainge,76
415,Buck Williams,80
416,Ray Tolbert,81
417,Ed Sherod,74
418,Albert King,78
419,Joe Cooper,82
420,David Burns,74
421,Orlando Woolridge,81
422,Roger Burkman,77
423,Ray Blume,76
424,Mickey Dillard,75
425,Brad Branson,82
426,Jay Vincent,79
427,Elston Turner,77
428,Kurt Nimphius,82
429,Rolando Blackman,78
430,Mark Aguirre,78
431,Kelly Tripucka,78
432,Isiah Thomas,73
433,Steve Hayes,84
434,Glenn Hagan,72
435,Sam Williams,80
436,Hank McDowell,81
437,Lewis Lloyd,78
438,Larry Spriggs,79
439,Elvin Hayes,81
440,Herb Williams,82
441,Jim Smith,81
442,Rock Lee,82
443,John Douglas,74
444,Tom Chambers,82
445,Jim Brogan,76
446,Kurt Rambis,80
447,Kevin McKenna,77
448,Mike McGee,77
449,Mitch Kupchak,81
450,Clay Johnson,76
451,Alex Bradley,78
452,Danny Vranes,79
453,Mark Radford,76
454,Franklin Edwards,73
455,Larry Nance,82
456,John McCullough,76
457,Craig Dykema,80
458,Pete Verhoeven,81
459,Darnell Valentine,73
460,Jeff Lamp,78
461,Pétur Guðmundsson,86
462,Carl Bailey,84
463,Kevin Loder,78
464,Steve Johnson,82
465,Kenny Dennard,80
466,Rich Yonakor,81
467,Ed Rains,79
468,Gene Banks,79
469,Howard Wood,79
470,Danny Schayes,83
471,Bobby Cattage,81
472,Dominique Wilkins,80
473,Scott Hastings,82
474,Keith Edmonson,77
475,Paul Pressey,77
476,Darren Tillis,83
477,Eddie Phillips,79
478,Sleepy Floyd,75
479,Rod Higgins,79
480,Quintin Dailey,75
481,Dave Magley,80
482,Bruce Flowers,80
483,John Bagley,72
484,Corny Thompson,80
485,Bill Garnett,81
486,Rob Williams,74
487,Dwight Anderson,75
488,Jim Zoet,85
489,Walker Russell,77
490,Ricky Pierce,76
491,Cliff Levingston,80
492,Jim Johnstone,83
493,Derek Smith,78
494,Chris Engler,83
495,Lester Conner,76
496,Terry Teagle,77
497,Jeff Taylor,76
498,Chuck Nevitt,89
499,Jose Slaughter,77
500,Russ Schoene,82
501,Guy Morgan,80
502,Clark Kellogg,79
503,Hutch Jones,80
504,Craig Hodges,74
505,Terry Cummings,81
506,Richard Anderson,82
507,James Worthy,81
508,Trent Tucker,77
509,Vince Taylor,77
510,Mike Davis,82
511,John Greig,79
512,Mark McNamara,83
513,Marc Iavaroni,80
514,J.J. Anderson,80
515,Rory White,80
516,David Thirdkill,79
517,Charles Pittman,80
518,Linton Townes,79
519,Audie Norris,81
520,Fat Lever,75
521,LaSalle Thompson,82
522,Brook Steppe,77
523,Ed Nealy,79
524,Mike Sanders,78
525,Oliver Robinson,76
526,Rickey Williams,73
527,Jerry Eaves,76
528,Mark Eaton,88
529,Randy Wittman,78
530,Doc Rivers,76
531,John Pinone,80
532,Kevin Grevey,77
533,Randy Breuer,87
534,Greg Kite,83
535,Carlos Clark,76
536,Bruce Kuczenski,82
537,Mark Jones,73
538,Mitchell Wiggins,76
539,Ennis Whatley,75
540,Sidney Green,81
541,Wallace Bryant,84
542,Paul Thompson,78
543,Roy Hinson,81
544,Stewart Granger,75
545,John Garris,80
546,Mark West,82
547,Derek Harper,76
548,Dale Ellis,79
549,Howard Carter,77
550,Ken Austin,81
551,Pace Mannion,79
552,Russell Cross,82
553,Ralph Sampson,88
554,Rodney McCray,79
555,Craig Ehlo,78
556,Granville Waiters,83
557,Jim Thomas,75
558,Steve Stipanovich,83
559,Sidney Lowe,72
560,Leroy Combs,80
561,Byron Scott,75
562,Darrell Walker,76
563,Jon Sundvold,74
564,Scooter McCray,81
565,Sedale Threatt,74
566,Leo Rautins,80
567,Charles Jones,81
568,Rod Foster,73
569,Tom Piotrowski,85
570,Clyde Drexler,79
571,Dane Suttle,75
572,Larry Micheaux,81
573,Kevin Williams,74
574,Brant Weidner,81
575,Fred Roberts,82
576,John Paxson,74
577,Bob Miller,82
578,Darrell Lockhart,81
579,Steve Lingenfelter,81
580,Dave Batton,82
581,Bob Hansen,78
582,Thurl Bailey,83
583,Kevin Willis,84
584,Antoine Carr,81
585,Kenny Fields,77
586,Charles Davis,79
587,Rick Carlisle,77
588,Michael Wilson,76
589,Jeff Turner,81
590,Wayne Sappleton,81
591,Michael Jordan,78
592,Melvin Turpin,83
593,Butch Graves,75
594,Ron Anderson,79
595,Tom Sluby,76
596,Charlie Sitton,80
597,Sam Perkins,81
598,Willie White,75
599,Joe Kopicki,81
600,Dale Wilkinson,82
601,Tony Campbell,79
602,Othell Wilson,72
603,Peter Thibeaux,79
604,Gary Plummer,81
605,Steve Burtt,74
606,Chuck Aleksinas,83
607,Jim Petersen,82
608,Hakeem Olajuwon,84
609,Terence Stansbury,77
610,Ralph Jackson,74
611,Stuart Gray,84
612,Vern Fleming,77
613,Kenton Edelin,80
614,Devin Durrant,79
615,Tony Brown,78
616,Bryan Warrick,77
617,Jay Murphy,81
618,Lancaster Gordon,75
619,Michael Cage,81
620,Earl Jones,84
621,Eddie Lee Wilkins,82
622,Ron Cavenall,85
623,Ken Bannister,81
624,Danny Young,75
625,John Schweitz,78
626,Tim McCormick,83
627,Frank Brickowski,81
628,Cory Blackwell,78
629,Leon Wood,75
630,Charles Barkley,78
631,Michael Young,79
632,Jay Humphries,75
633,Michael Holton,76
634,Bernard Thompson,78
635,Tom Scheffler,83
636,Jerome Kersey,79
637,Steve Colter,75
638,Sam Bowie,85
639,Otis Thorpe,81
640,David Pope,79
641,Alvin Robertson,75
642,Ozell Jones,83
643,John Stockton,73
644,Spud Webb,66
645,Sedric Toney,74
646,Jon Koncak,84
647,Lorenzo Charles,79
648,John Battle,74
649,Derrick Rowland,77
650,Jerry Reynolds,80
651,Sam Vincent,74
652,Yvon Joseph,83
653,Mike Smrek,84
654,Charles Oakley,80
655,Dirk Minniefield,75
656,Ben McDonald,80
657,Keith Lee,82
658,Bill Wennington,84
659,Detlef Schrempf,82
660,Harold Keeling,76
661,Uwe Blab,85
662,Pete Williams,79
663,Blair Rasmussen,84
664,Rick Mahorn,82
665,Mike Gibson,82
666,Joe Dumars,75
667,Ron Crevier,84
668,Guy Williams,81
669,Chris Mullin,78
670,Greg Ballard,79
671,Steve Harris,77
672,Wayman Tisdale,81
673,Dwayne McClain,78
674,Bill Martin,79
675,Jeff Cross,82
676,Benoit Benjamin,84
677,Jerome Henderson,83
678,A.C. Green,81
679,Gerald Wilkins,78
680,Bob Thornton,82
681,Chris McNealy,79
682,Ken Green,80
683,Patrick Ewing,84
684,Fred Cofield,75
685,Alex Stivrins,80
686,Michael Phelps,76
687,Xavier McDaniel,79
688,Brian Martin,81
689,Voise Winters,80
690,Greg Stokes,82
691,Perry Moss,74
692,Kenny Green,78
693,Terry Catledge,80
694,Nick Vanos,85
695,Ed Pinckney,81
696,Georgi Glouchkov,80
697,Terry Porter,75
698,Ken Johnson,80
699,Joe Kleine,83
700,Carl Henry,78
701,David Cooke,80
702,Michael Adams,70
703,Alfredrick Hughes,77
704,Tyrone Corbin,78
705,Mike Brittain,84
706,Carey Scurry,79
707,Karl Malone,81
708,Cedric Henderson,80
709,Keith Smith,75
710,Scott Skiles,73
711,Andre Turner,71
712,Conner Henry,79
713,Darren Daye,80
714,Pearl Washington,74
715,Ben Coleman,81
716,Perry Young,77
717,Brad Sellers,84
718,Pete Myers,78
719,Mike Brown,81
720,Hot Rod Williams,83
721,Mark Price,72
722,Johnny Newman,79
723,Ron Harper,78
724,Brad Daugherty,84
725,Roy Tarpley,83
726,Dennis Nutt,74
727,Myron Jackson,75
728,Otis Smith,77
729,Maurice Martin,78
730,Mark Alarie,80
731,John Salley,83
732,Dennis Rodman,79
733,Cozell McQueen,83
734,Chris Washburn,83
735,Clinton Smith,78
736,Kevin Henderson,76
737,Buck Johnson,79
738,Dave Feitl,83
739,Chuck Person,80
740,Greg Dreiling,85
741,Dwayne Polee,77
742,Tim Kempton,82
743,Steffond Johnson,80
744,Billy Thompson,79
745,Adrian Branch,79
746,Brad Wright,83
747,Kenny Walker,80
748,McKinley Singleton,77
749,Nate McMillan,77
750,Curtis Kitchen,81
751,David Wingate,77
752,Jeff Ruland,82
753,Jim Lampley,82
754,Jeff Hornacek,75
755,Grant Gondrezick,77
756,Kenny Gattison,80
757,William Bedford,84
758,Rafael Addison,79
759,Ron Rowan,77
760,Fernando Martín,81
761,Kevin Duckworth,84
762,Joe Binion,80
763,Walter Berry,80
764,Johnny Rogers,82
765,Harold Pressley,79
766,Bruce Douglas,75
767,Forrest McKenzie,79
768,Larry Krystkowiak,81
769,Anthony Jones,78
770,Johnny Dawkins,74
771,Dell Curry,76
772,Rickie Winslow,80
773,John Stroeder,82
774,Andre Moore,81
775,Dave Hoppen,83
776,Brad Lohaus,83
777,Reggie Lewis,79
778,Mark Acres,83
779,Ricky Wilson,75
780,Duane Washington,76
781,Jamie Waller,76
782,Dennis Hopson,77
783,Dallas Comegys,81
784,Tony White,74
785,Scottie Pippen,80
786,Horace Grant,82
787,Kevin Johnson,73
788,Kannard Johnson,81
789,Chris Dudley,83
790,Jim Farmer,76
791,Steve Alford,74
792,Ron Moore,84
793,Ralph Lewis,78
794,Mark Wade,71
795,Winston Garland,74
796,Tellis Frank,82
797,Clinton Wheeler,73
798,Brian Rowsom,81
799,Reggie Miller,79
800,Joe Wolf,83
801,Reggie Williams,79
802,Eric White,80
803,Ken Norman,80
804,Martin Nessley,86
805,Tod Murphy,81
806,Claude Gregory,80
807,Norris Coleman,80
808,Milt Wagner,77
809,Mark Jackson,73
810,Billy Donovan,71
811,Olden Polynice,83
812,Derrick McKey,81
813,Chris Welp,84
814,Dave Henderson,77
815,Vincent Askew,78
816,Armen Gilliam,81
817,Winston Crite,79
818,Nikita Wilson,80
819,Ronnie Murphy,77
820,Kevin Gamble,77
821,Kenny Smith,75
822,Michael Jackson,74
823,Joe Arlauckas,81
824,Phil Zevenbergen,82
825,Richard Rellford,78
826,Nate Blackwell,76
827,Greg Anderson,82
828,Scott Roth,80
829,Bart Kofoed,76
830,Eddie Hughes,70
831,Duane Ferrell,79
832,Tito Horford,85
833,Jeff Grayer,77
834,Mark Davis,78
835,Kelvin Upshaw,74
836,Brian Shaw,78
837,Ramón Rivas,82
838,Ron Grandison,78
839,Charles Shackleford,82
840,Chris Morris,80
841,Bill Jones,79
842,Corey Gaines,75
843,David Wood,81
844,Dominic Pressley,74
845,Will Perdue,84
846,Jack Haley,82
847,Tom Tolbert,79
848,Rex Chapman,76
849,Muggsy Bogues,63
850,Randolph Keys,79
851,Morlon Wiley,76
852,Jerome Lane,78
853,Wayne Englestad,80
854,Micheal Williams,74
855,Jim Rowinski,80
856,Fennis Dembo,77
857,John Starks,75
858,Mitch Richmond,77
859,Shelton Jones,81
