,0
0,Curly Armstrong
1,Cliff Barker
2,Leo Barnhorst
3,Ed Bartels
4,Ralph Beard
5,Gene Berce
6,Charlie Black
7,Nelson Bobb
8,Jake Bornheimer
9,Vince Boryla
10,Don Boven
11,Harry Boykoff
12,Joe Bradley
13,Bob Brannum
14,Carl Braun
15,Frankie Brian
16,Price Brookfield
17,Bob Brown
18,Jim Browne
19,Walt Budko
20,Jack Burmaster
21,Tommy Byrnes
22,Bill Calhoun
23,Don Carlson
24,Bob Carpenter
25,Jake Carter
26,Al Cervi
27,John Chaney
28,Leroy Chollet
29,Bill Closs
30,Paul Cloyd
31,Jack Coleman
32,Bobby Cook
33,Ray Corley
34,Jack Cotton
35,Dillard Crocker
36,Chink Crossin
37,Fran Curran
38,Jimmy Darden
39,Bob Davies
40,Hook Dillon
41,Earl Dodd
42,Joe Dolhon
43,Bob Doll
44,Harry Donovan
45,Andy Duncan
46,Dike Eddleman
47,Gene Englund
48,Bob Evans
49,Johnny Ezersky
50,Bob Feerick
51,George Feigenbaum
52,Arnie Ferrin
53,Jerry Fleishman
54,Joe Fulks
55,Bill Gabor
56,Elmer Gainer
57,Harry Gallatin
58,Vern Gardner
59,Frank Gates
60,Dee Gibson
61,Hoot Gibson
62,Chuck Gilmur
63,Normie Glick
64,Paul Gordon
65,Joe Graboski
66,Bud Grant
67,Don Grate
68,Alex Groza
69,Al Guokas
70,Robert Hahn
71,Chick Halbert
72,Bruce Hale
73,Dale Hamilton
74,Alex Hannum
75,John Hargis
76,Bob Harris
77,Bob Harrison
78,Billy Hassett
79,Marshall Hawkins
80,Bill Henry
81,Bill Herman
82,Kleggie Hermsen
83,Sonny Hertzberg
84,Paul Hoffman
85,Joe Holland
86,Red Holzman
87,Gene James
88,Howie Janotta
89,Tony Jaros
90,Buddy Jeannette
91,Arnie Johnson
92,Ralph Johnson
93,Wah Wah Jones
94,Noble Jorgensen
95,George Kaftan
96,Leo Katkaveck
97,Jack Kerris
98,Bob Kinney
99,Walt Kirk
100,Leo Klier
101,Duane Klueh
102,Lee Knorek
103,Milo Komenich
104,Leo Kubiak
105,Frank Kudelka
106,Walt Lautenbach
107,Tony Lavelli
108,Ed Leede
109,Andrew Levane
110,Freddie Lewis
111,Ron Livingstone
112,John Logan
113,Ray Lumpp
114,Ed Macauley
115,Johnny Macknowski
116,John Mahnken
117,John Mandic
118,Slater Martin
119,Ariel Maughan
120,Matt Mazza
121,Mike McCarron
122,Dick McGuire
123,Bones McKinney
124,Mal McMullen
125,Dick Mehen
126,Ken Menke
127,Stan Miasek
128,Ed Mikan
129,George Mikan
130,Vern Mikkelsen
131,Al Miksis
132,Murray Mitchell
133,Leo Mogus
134,Max Morris
135,Joe Mullaney
136,Jerry Nagel
137,Jack Nichols
138,Richie Niemiera
139,Paul Noel
140,Jim Nolan
141,Johnny Norlander
142,George Nostrand
143,Mike Novak
144,Dermie O'Connell
145,Andy O'Donnell
146,Dick O'Keefe
147,John Oldham
148,Gene Ollrich
149,Johnny Orr
150,Don Otten
151,Mac Otten
152,Red Owens
153,Easy Parham
154,Jack Parkinson
155,Charlie Parsley
156,Stan Patrick
157,Johnny Payak
158,Warren Perkins
159,Ed Peterson
160,Jack Phelan
161,Andy Phillip
162,Jim Pollard
163,John Pritchard
164,Les Pugh
165,Don Putman
166,George Ratkovicz
167,Don Ray
168,Chick Reiser
169,Arnie Risen
170,Tex Ritter
171,Bill Roberts
172,Red Rocha
173,Kenny Rollins
174,Bob Royer
175,Jerry Rullo
176,Ed Sadowski
177,Kenny Sailors
178,Pep Saul
179,Herm Schaefer
180,Marv Schatzman
181,Fred Schaus
182,Dolph Schayes
183,Milt Schoon
184,Howie Schultz
185,Dick Schulz
186,Fred Scolari
187,Wayne See
188,Glen Selbo
189,Rollie Seltz
190,Jim Seminoff
191,George Senesky
192,Paul Seymour
193,Carl Shaeffer
194,Howie Shannon
195,Charley Shipp
196,Connie Simmons
197,Belus Smawley
198,Jack Smiley
199,Chips Sobek
200,Odie Spears
201,Art Spector
202,Ed Stanczak
203,Gene Stump
204,Mike Todorovich
205,Jack Toomay
206,Bob Tough
207,Blackie Towery
208,Dick Triptow
209,Butch van Breda Kolff
210,Gene Vance
211,Ernie Vandeweghe
212,Floyd Volker
213,Whitey Von Nieda
214,Clint Wager
215,Danny Wagner
216,Brady Walker
217,Paul Walther
218,Bobby Wanzer
219,Murray Wier
220,D.C. Wilcutt
221,Bob Wood
222,Max Zaslofsky
223,Paul Arizin
224,Ed Beach
225,Leon Blevins
226,Ike Borsavage
227,Art Burris
228,Gerry Calabrese
229,Cal Christensen
230,Nat Clifton
231,Chuck Cooper
232,Bob Cousy
233,Hank DeZonie
234,Bob Donham
235,Ray Ellefson
236,Larry Foust
237,Ed Gayda
238,Joe Hutton
239,Bob Lavoy
240,Earl Lloyd
241,Don Lofgran
242,Norm Mager
243,Joe McNamee
244,Chuck Mrazovich
245,Ken Murray
246,Tommy O'Keefe
247,Kevin O'Shea
248,Don Rehfeldt
249,Jim Riffey
250,Alan Sawyer
251,Herb Scherer
252,Dick Schnittker
253,Bill Sharman
254,Don Barksdale
255,Elmer Behnke
256,Stan Brown
257,Ed Dahler
258,Nate DeLong
259,Dick Dickey
260,Jake Fendley
261,Jerry Fowler
262,Lew Hitch
263,Mel Hutchins
264,Neil Johnston
265,Jack Kiley
266,George King
267,John McConathy
268,Alfred McGuire
269,Dave Minor
270,Ralph O'Brien
271,Wally Osterkorn
272,Mel Payton
273,John Pilch
274,Ray Ragelis
275,Sam Ranzino
276,John Rennicke
277,Don Savage
278,Chuck Share
279,Zeke Sinicola
280,Whitey Skoog
281,Jim Slaughter
282,Bill Tosheff
283,Bob Wilson
284,Jim Baechtold
285,Jim Brasco
286,Dick Bunt
287,Gene Conley
288,Pete Darcey
289,Blaine Denning
290,Danny Finn
291,Dick Groat
292,Don Hanrahan
293,Don Henriksen
294,Jim Holstein
295,Bob Lochmueller
296,Mo Mahoney
297,Al Masino
298,Jack McCloskey
299,Bucky McConnell
300,George McLeod
301,Jack McMahon
302,Monk Meineke
303,Eddie Miller
304,Bill Mlkvy
305,Jim Mooney
306,Bob Naber
307,John O'Boyle
308,Mike O'Neill
309,Claude Overton
310,Ralph Polson
311,Bob Priddy
312,Moe Radovich
313,Sherwin Raiken
314,Gene Rhodes
315,Dick Surhoff
316,Mark Workman
317,Zeke Zawoluk
318,Don Ackerman
319,Don Asmonga
320,Ernie Barrett
321,Ernie Beck
322,Irv Bemoras
323,Bill Bolger
324,Walt Davis
325,Gene Dyker
326,Ed Earle
327,Ray Felix
328,Jim Fritsche
329,Jack George
330,Bato Govedarica
331,Norm Grekin
332,Rollen Hans
333,Bob Houbregs
334,Billy Kenville
335,Dick Knostman
336,Clyde Lovellette
337,Jim Luisi
338,Jack Molinas
339,Jim Neal
340,Paul Nolen
341,Bob Peterson
342,James Phelan
343,Connie Rea
344,Frank Reddout
345,Al Roges
346,Ed Smith
347,Joe Smyth
348,Don Sunderlage
349,Norm Swanson
350,Hal Uplinger
351,Isaac Walthour
352,George Yardley
353,Don Anielak
354,Tom Brennan
355,Bob Carney
356,Fred Christ
357,Bert Cook
358,Larry Costello
359,George Dempsey
360,Fred Diute
361,Dick Farley
362,Chuck Grigsby
363,Herm Hedderick
364,Ed Kalafat
365,Mike Kearns
366,Red Kerr
367,Dan King
368,Bob Knight
369,Ronnie MacGilvray
370,Tom Marshall
371,Phil Martin
372,Ken McBride
373,Carl McNulty
374,Jackie Moore
375,Red Morrison
376,Boris Nachamkin
377,Togo Palazzi
378,Bob Pettit
379,Frank Ramsey
380,Dick Rosenthal
381,Frank Selvy
382,Gene Shue
383,Art Spoelstra
384,Jim Tucker
385,Jack Turner
386,Bobby Watson
387,Skippy Whitaker
388,Jesse Arnelle
389,Dick Atha
390,Don Bielke
391,Ed Conlin
392,Red Davis
393,Corky Devlin
394,Walter Dukes
395,Ron Feiereisel
396,Al Ferrari
397,Ed Fleming
398,Dick Garmaker
399,Tom Gola
400,Chris Harris
401,Dick Hemric
402,Larry Hennessy
403,Johnny Horan
404,Jim Loscutoff
405,Chuck Mencel
406,Chuck Noble
407,Med Park
408,Richie Regan
409,Dick Ricketts
410,Bob Santini
411,Bob Schafer
412,Kenny Sears
413,Jack Stephens
414,Maurice Stokes
415,Jack Twyman
416,Bob Williams
417,Forest Able
418,Bob Armstrong
419,John Barber
420,Gary Bergen
421,Al Bianchi
422,Bob Burrow
423,Si Green
424,Richie Guerin
425,Cliff Hagan
426,Tom Heinsohn
427,Joe Holup
428,Bob Hopkins
429,Phil Jordon
430,Hal Lear
431,Slick Leonard
432,Johnny McCarthy
433,Willie Naulls
434,Jim Paxson
435,Dave Piontek
436,Jim Ray
437,Bill Russell
438,Ron Shavlik
439,Ron Sobie
440,Norm Stewart
441,Bill Thieben
442,Lou Tsioropoulos
443,Doug Bolstorff
444,George Brown
445,Dick Duckett
446,Pat Dunn
447,Bill Ebben
448,Bo Erias
449,Larry Friend
450,Hot Rod Hundley
451,McCoy Ingram
452,Sam Jones
453,Jim Krebs
454,Brendan McCann
455,Worthy Patterson
456,Jerry Paulson
457,Ray Radziszewski
458,Lennie Rosenbluth
459,Woody Sauldsberry
460,Guy Sparrow
461,Charlie Tyra
462,Jim Walsh
463,Win Wilfong
464,Elgin Baylor
465,Jerry Bird
466,Bucky Bockhorn
467,Pete Brennan
468,Barney Cable
469,Archie Dees
470,Connie Dierking
471,Boo Ellis
472,Wayne Embry
473,Mike Farmer
474,Dave Gambee
475,Hal Greer
476,Steve Hamilton
477,Vern Hatton
478,Andy Johnson
479,K.C. Jones
480,Tommy Kearns
481,Shellie McMillon
482,Jim Palmer
483,Jack Parr
484,Hub Reed
485,Guy Rodgers
486,Phil Rollins
487,Larry Staverman
488,Bennie Swain
489,Gary Alcorn
490,Bob Anderegg
491,Dick Barnett
492,Whitey Bell
493,Wilt Chamberlain
494,Bob Ferry
495,Johnny Green
496,Gene Guarilia
497,Tom Hawkins
498,Bailey Howell
499,Maurice King
500,Rudy LaRusso
501,Nick Mantis
502,Cal Ramsey
503,John Richter
504,Joe Ruklick
505,Bobby Smith
506,Wayne Stevens
507,Tony Windis
508,Al Attles
509,Bob Boozer
510,Dave Budd
511,Ralph Davis
512,Swede Halbrook
513,Darrall Imhoff
514,Ron Johnson
515,Howie Jolliff
516,Willie Jones
517,Pickles Kennedy
518,Fred LaCour
519,George Lee
520,Bob McNeill
521,Jackie Moreland
522,Don Ohl
523,Joe Roberts
524,Oscar Robertson
525,Tom Sanders
526,Jerry West
527,Lenny Wilkens
528,Stacey Arceneaux
529,Walt Bellamy
530,George Blaney
531,George Bon Salle
532,Joe Buckhalter
533,Cleveland Buckner
534,Ed Burton
535,Donnie Butcher
536,Al Butler
537,Howie Carl
538,Jimmy Darrow
539,Johnny Egan
540,Rich Eichhorst
541,Cleo Hill
542,Ron Horn
543,Doug Kistler
544,York Larese
545,Ted Luckenbill
546,Whitey Martin
547,Tom Meschery
548,Paul Neumann
549,Bevo Nordmann
550,Chuck Osborne
551,Gary Phillips
552,Frank Radovich
553,Ray Scott
554,Lee Shaffer
555,Bob Sims
556,Adrian Smith
557,Bill Smith
558,Sam Stith
559,Horace Walker
560,Bob Wiesenhahn
561,Wayne Yates
562,Dave Zeller
563,John Barnhill
564,Zelmo Beaty
565,Bill Bridges
566,Len Chappell
567,Johnny Cox
568,Dave DeBusschere
569,Terry Dischinger
570,Danny Doyle
571,Bob Duffy
572,Leroy Ellis
573,Dave Fedor
574,Jack Foley
575,Dave Gunther
576,Charlie Hardnett
577,John Havlicek
578,Wayne Hightower
579,Paul Hogue
580,Kevin Loughery
581,Bill McGill
582,Porter Meriwether
583,Howie Montgomery
584,Don Nelson
585,Mel Nowell
586,Bud Olsen
587,John Rudometkin
588,Jeff Slade
589,Tom Stith
590,Dan Swartz
591,Dan Tieman
592,Gene Tormohlen
593,Chico Vaughn
594,Chet Walker
595,Ben Warley
596,Ralph Wells
597,Hubie White
598,Gene Wiley
599,Jay Arnette
600,Larry Comley
601,Mel Gibson
602,Jerry Greenspan
603,Reggie Harding
604,Jerry Harkness
605,Art Heyman
606,Gary Hill
607,Tom Hoover
608,Gus Johnson
609,Jim King
610,Don Kojis
611,Jerry Lucas
612,Eddie Miles
613,Mel Peterson
614,Ken Rohloff
615,Larry Siegfried
616,Roger Strickland
617,Tom Thacker
618,Rod Thorn
619,Nate Thurmond
620,Gerry Ward
621,John Windsor
622,Jim Barnes
623,Ron Bonham
624,Gary Bradds
625,Em Bryant
626,Joe Caldwell
627,Mel Counts
628,Steve Courtin
629,Jerry Grote
630,Happy Hairston
631,Walt Hazzard
632,Les Hunter
633,Luke Jackson
634,Larry Jones
635,Wali Jones
636,Howard Komives
637,Bud Koper
638,Barry Kramer
639,McCoy McLemore
640,Jeff Mullins
641,Cotton Nash
642,Willis Reed
643,Paul Silas
644,John Thompson
645,John Tresvant
646,George Wilson
647,Rick Barry
648,Jesse Branson
649,Bill Buntin
650,Barry Clemens
651,Billy Cunningham
652,Keith Erickson
653,John Fairchild
654,Will Frazier
655,Gail Goodrich
656,Fred Hetzel
657,Jon McGlocklin
658,Thales McReynolds
659,Ron Reed
660,Jerry Sloan
661,Willie Somerset
662,Dave Stallworth
663,Joe Strawder
664,Dick Van Arsdale
665,Tom Van Arsdale
666,Bob Warlick
667,Jim Washington
668,Ron Watts
669,Bob Weiss
670,Henry Akin
671,Johnny Austin
672,Jim Barnett
673,Dave Bing
674,John Block
675,Nate Bowman
676,Jerry Chambers
677,Archie Clark
678,Freddie Crawford
679,Dave Deutsch
680,Joe Ellis
681,Hank Finkel
682,Matt Guokas
683,Bob Hogsett
684,Lou Hudson
685,Neil Johnson
686,Toby Kimball
687,Tommy Kron
688,Clyde Lee
689,Bob Love
690,Jack Marin
691,Bill Melchionni
692,Wayne Molis
693,Erwin Mueller
694,Dorie Murrey
695,Flynn Robinson
696,Cazzie Russell
697,Dave Schellhase
698,Dick Snyder
699,Jim Ware
700,Walt Wesley
701,Bud Acton
702,Cliff Anderson
703,Bill Bradley
704,Tyrone Britt
705,Jim Burns
706,Jim Caldwell
707,George Carter
708,Jim Davis
709,Bill Dinwiddie
710,Sonny Dove
711,Ron Filipek
712,Jim Fox
713,Walt Frazier
714,Mal Graham
715,Gary Gray
716,Dennis Hamilton
717,Clem Haskins
718,Al Jackson
719,Phil Jackson
720,Johnny Jones
721,Nick Jones
722,Dave Lattin
723,George Lehmann
724,Bobby Lewis
725,Paul Long
726,Plummer Lott
727,Ed Manning
728,Stan McKenzie
729,Jay Miller
730,Earl Monroe
731,George Patterson
732,Jim Reid
733,Pat Riley
734,Bob Rule
735,Craig Spitzer
736,Al Tucker
737,Bill Turner
738,Jimmy Walker
739,Rick Weitzman
740,Roland West
741,John Wetzel
742,Ken Wilburn
743,Art Williams
744,Tom Workman
745,Zaid Abdul-Aziz
746,Rick Adelman
747,Bob Allen
748,Harry Barnes
749,Ed Biedenbach
750,Tom Boerwinkle
751,Jay Carty
752,Don Chaney
753,Dick Cunningham
754,Fred Foster
755,Pat Frink
756,Gary Gregor
757,Al Hairston
758,Shaler Halimon
759,Skip Harlicka
760,Art Harris
761,Elvin Hayes
762,Bill Hewitt
763,Bill Hosket
764,Rich Johnson
765,Bob Kauffman
766,Joe Kennedy
767,Rod Knowles
768,Stu Lantz
769,Don May
770,Otto Moore
771,Dave Newmark
772,Rich Niemann
773,Barry Orms
774,Charlie Paulk
775,Loy Petersen
776,Bob Quick
777,Craig Raymond
778,Mike Riordan
779,Dale Schlueter
780,Doug Sims
781,Greg Smith
782,John Trapp
783,Wes Unseld
784,Dwight Waller
785,Cliff Williams
786,Ron Williams
787,Sam Williams
788,Kareem Abdul-Jabbar
789,Lucius Allen
790,Wally Anderzunas
791,John Arthurs
792,Johnny Baum
793,Butch Beard
794,Fred Carter
795,Bob Dandridge
796,Mike Davis
797,Dick Garrett
798,Herm Gilliam
799,Bob Greacen
800,Lamar Green
801,Connie Hawkins
802,Brian Heaney
803,Steve Kuberski
804,Mike Lynn
805,Willie McCarter
806,Steve Mix
807,Grady O'Malley
808,Bud Ogden
809,Bob Portman
810,Luther Rackley
811,George Reynolds
812,Rick Roberson
813,Dave Scholz
814,Bingo Smith
815,Norm Van Lier
816,Neal Walk
817,John Warren
818,Jo Jo White
819,Bernie Williams
820,Lee Winfield
821,Don Adams
822,Tiny Archibald
823,Bob Arnzen
824,Dennis Awtrey
825,Moe Barr
826,Tom Black
827,Bob Christian
828,Jimmy Collins
829,Joe Cooke
830,Dave Cowens
831,Pete Cross
832,Terry Driscoll
833,Claude English
834,Greg Fillmore
835,Levi Fontaine
836,Jake Ford
837,Gary Freeman
838,Walt Gilmore
839,Spencer Haywood
840,Gar Heard
841,Al Henry
842,A.W. Holt
843,Greg Howard
844,John Hummer
845,Greg Hyder
846,George Johnson
847,John Johnson
848,Earnie Killum
849,Ron Knight
850,Sam Lacey
851,Bob Lanier
852,Pete Maravich
853,Harvey Marlatt
854,Eddie Mast
855,Jim McMillian
856,Larry Mikan
857,Rex Morgan
858,Calvin Murphy
859,Ralph Ogden
860,Curtis Perry
861,Geoff Petrie
862,Mike Price
863,Bob Riley
864,Paul Ruffner
865,Mike Silliman
866,Garfield Smith
867,Dave Sorenson
868,Dennis Stewart
869,Bill Stricker
870,Gary Suiter
871,Fred Taylor
872,Joe Thomas
873,Rudy Tomjanovich
874,John Vallely
875,Cornell Warner
876,Bobby Washington
877,Jeff Webb
878,Herb White
879,Milt Williams
880,Willie Williams
881,Marv Winkler
882,Gary Zeller
883,Bill Zopf
884,Odis Allison
885,Vic Bartolome
886,Fred Brown
887,Austin Carr
888,Sid Catlett
889,Phil Chenier
890,Jim Cleamons
891,Charlie Davis
892,Jackie Dinkins
893,Ken Durrett
894,Dick Gibbs
895,Clarence Glover
896,Jeff Halliburton
897,Fred Hilton
898,Jake Jones
899,Mo Layton
900,Stan Love
901,Charlie Lowery
902,Jim Marsh
903,Jim McDaniels
904,Gil McGregor
905,Kenny McIntosh
906,Cliff Meely
907,Dean Meminger
908,John Mengelt
909,Barry Nelson
910,Mike Newlin
911,Willie Norwood
912,Steve Patterson
913,Tom Payne
914,Howard Porter
915,Clifford Ray
916,Jackie Ridgle
917,Rich Rinaldi
918,Curtis Rowe
919,Charlie Scott
920,Elmore Smith
921,Randy Smith
922,William Smith
923,Larry Steele
924,George Trapp
925,Sidney Wicks
926,Nate Williams
927,Isaiah Wilson
928,Dave Wohl
929,Barry Yates
930,Charlie Yelverton
931,Henry Bibby
932,Freddie Boyd
933,Steve Bracey
934,John Brisker
935,Roger Brown
936,Corky Calhoun
937,Bob Davis
938,Dwight Davis
939,Mickey Davis
940,Charles Dudley
941,Scott English
942,Chris Ford
943,Harold Fox
944,Rowland Garrett
945,John Gianelli
946,Travis Grant
947,Luther Green
948,Charles Johnson
949,Ollie Johnson
950,Manny Leaks
951,Russ Lee
952,LaRue Martin
953,Bob McAdoo
954,Paul McCracken
955,Eric McWilliams
956,Mark Minor
957,Bob Nash
958,Lloyd Neal
959,Tom Patterson
960,Kevin Porter
961,Jim Price
962,Mike Ratliff
963,Tom Riker
964,Ron Riley
965,Frank Russell
966,Frank Schade
967,Sam Sibert
968,Bud Stallworth
969,Paul Stovall
970,Chuck Terry
971,Justus Thigpen
972,John Tschogl
973,Paul Westphal
974,Harthorne Wingo
975,Joby Wright
976,Mike Bantom
977,Ron Behagen
978,Dennis Bell
979,Jim Brewer
980,Allan Bristow
981,John Brown
982,Larry Cannon
983,Bill Chamberlain
984,Ken Charles
985,E.C. Coleman
986,Doug Collins
987,Mike D'Antoni
988,Mel Davis
989,Derrek Dickey
990,Ernie DiGregorio
991,Steve Downing
992,Rod Freeman
993,Bernie Fryer
994,Jim Garvin
995,Phil Hankinson
996,Nate Hawthorne
997,Tom Ingelsby
998,Dwight Jones
999,Ben Kelso
1000,Tom Kozelko
1001,Kevin Kunnert
1002,Mike Macaluso
1003,Ted Manakas
1004,Vester Marshall
1005,Allie McGuire
1006,Larry McNeill
1007,Gary Melchionni
1008,Louie Nelson
1009,Jim Owens
1010,Ed Ratleff
1011,Joe Reaves
1012,Mark Sibley
1013,Bob Verga
1014,Kermit Washington
1015,Slick Watts
1016,Nick Weatherspoon
1017,Luke Witte
1018,Dan Anderson
1019,Jim Ard
1020,Gus Bailey
1021,Leon Benbow
1022,Ken Boyd
1023,Gary Brokaw
1024,Tom Burleson
1025,Harvey Catchings
1026,Jim Chones
1027,Ben Clyde
1028,Jesse Dark
1029,Rod Derline
1030,John Drew
1031,Dennis DuVal
1032,Al Eberhard
1033,Leonard Gray
1034,Bernie Harris
1035,Steve Hawes
1036,Tom Henderson
1037,Greg Jackson
1038,Wardell Jackson
1039,Aaron James
1040,Mickey Johnson
1041,Jimmy Jones
1042,Frank Kendrick
1043,Len Kosmalski
1044,Bill Ligon
1045,Phil Lumpkin
1046,Glenn McDonald
1047,Eric Money
1048,Connie Norman
1049,Kevin Restani
1050,Truck Robinson
1051,Campy Russell
1052,Fred Saunders
1053,Tal Skinner
1054,Don Smith
1055,Phil Smith
1056,Mike Sojourner
1057,Kevin Stacom
1058,George Thompson
1059,Dean Tolson
1060,Foots Walker
1061,Bill Walton
1062,Perry Warbington
1063,Stan Washington
1064,Scott Wedman
1065,Owen Wells
1066,Jamaal Wilkes
1067,Earl Williams
1068,Bobby Wilson
1069,Brian Winters
1070,Alvan Adams
1071,Jerome Anderson
1072,Jerry Baskerville
1073,Bob Bigelow
1074,Tom Boswell
1075,Junior Bridgeman
1076,Joe Bryant
1077,Al Carlson
1078,Jim Creighton
1079,Darryl Dawkins
1080,Henry Dickerson
1081,Eric Fernsten
1082,Larry Fogle
1083,Don Ford
1084,World B. Free
1085,Donnie Freeman
1086,Kevin Grevey
1087,Bob Gross
1088,Lindsay Hairston
1089,Glenn Hansen
1090,Bubbles Hawkins
1091,Wilbur Holland
1092,Lionel Hollins
1093,Steve Jones
1094,Rich Kelley
1095,Tom Kropp
1096,C.J. Kupec
1097,John Lambert
1098,John Laskowski
1099,Greg Lee
1100,Clyde Mayes
1101,Ken Mayfield
1102,Jim McElroy
1103,George McGinnis
1104,Tom McMillen
1105,Joe Meriweather
1106,Dave Meyers
1107,Frank Oleynick
1108,Cliff Pondexter
1109,Bill Robinzine
1110,John Roche
1111,Bruce Seals
1112,Ed Searcy
1113,Gene Short
1114,John Shumate
1115,Ricky Sobers
1116,Terry Thomas
1117,Rudy White
1118,Gus Williams
1119,Bill Willoughby
1120,Tom Abernethy
1121,Bird Averitt
1122,Tom Barker
1123,Marvin Barnes
1124,Norton Barnhill
1125,Mike Barr
1126,Tim Bassett
1127,Byron Beck
1128,Mel Bennett
1129,Ron Boone
1130,Quinn Buckner
1131,Ticky Burden
1132,Don Buse
1133,Mack Calvin
1134,M.L. Carr
1135,Cornelius Cash
1136,Norm Cook
1137,Louie Dampier
1138,Mel Daniels
1139,Adrian Dantley
1140,Johnny Davis
1141,Ron Davis
1142,Randy Denton
1143,Coby Dietrick
1144,Leon Douglas
1145,Mike Dunleavy
1146,Jim Eakins
1147,Len Elmore
1148,Darrell Elston
1149,Alex English
1150,Julius Erving
1151,Butch Feher
1152,Mike Flynn
1153,Terry Furlow
1154,Mike Gale
1155,Gus Gerard
1156,George Gervin
1157,Artis Gilmore
1158,Mike Green
